Segment_ID,Time_Index,Pos_FAV
1000,10.0,1541.1229751793803
1000,10.1,1541.904568196444
1000,10.2,1542.6862287093163
1000,10.3,1543.467980446317
1000,10.4,1544.2498518010318
1000,10.5,1545.0318756790004
1000,10.6,1545.814089273706
1000,10.7,1546.5965337790483
1000,10.8,1547.3792540473662
1000,10.9,1548.1622982079095
1000,11.0,1548.9457172596622
1000,11.1,1549.7295646463647
1000,11.2,1550.5138958183697
1000,11.3,1551.2987677865888
1000,11.4,1552.0842386744348
1000,11.5,1552.8703672730135
1000,11.6,1553.657212603938
1000,11.7,1554.4448334938036
1000,11.8,1555.2332881648972
1000,11.9,1556.0226338479547
1000,12.0,1556.8129264235558
1000,12.1,1557.6042200978484
1000,12.2,1558.3965671159342
1000,12.3,1559.1900175140254
1000,12.4,1559.984618910584
1000,12.5,1560.7804163366425
1000,12.6,1561.5774521048947
1000,12.7,1562.375765715528
1000,12.8,1563.1753937952271
1000,12.9,1563.976370065276
1000,13.0,1564.7787253346528
1000,13.1,1565.5824875136736
1000,13.2,1566.3876816434358
1000,13.3,1567.1943299369148
1000,13.4,1568.0024518284422
1000,13.5,1568.8120640283712
1000,13.6,1569.6231805793211
1000,13.7,1570.4358129107732
1000,13.8,1571.2499698898425
1000,13.9,1572.0656578663557
1000,14.0,1572.8828807092377
1000,14.1,1573.7016398301705
1000,14.2,1574.5219341912077
1000,14.3,1575.3437602951938
1000,14.4,1576.1671121596698
1000,14.5,1576.9919812759679
1000,14.6,1577.8183565560241
1000,14.7,1578.6462242699806
1000,14.8,1579.475567977362
1000,14.9,1580.3063684539018
1000,15.0,1581.1386036160136
1000,15.1,1581.9722484458057
1000,15.2,1582.807274920608
1000,15.3,1583.6436519511806
1000,15.4,1584.4813453322533
1000,15.5,1585.3203177088296
1000,15.6,1586.1605285617807
1000,15.7,1587.0019342155772
1000,15.8,1587.8444878695425
1000,15.9,1588.6881396530819
1000,16.0,1589.5328367053407
1000,16.1,1590.3785232795651
1000,16.2,1591.2251408715051
1000,16.3,1592.0726283703852
1000,16.4,1592.9209222309512
1000,16.5,1593.7699566653428
1000,16.6,1594.6196638534468
1000,16.7,1595.469974170424
1000,16.8,1596.3208164304945
1000,16.9,1597.1721181459714
1000,17.0,1598.0238057994698
1000,17.1,1598.8758051263574
1000,17.2,1599.7280414045629
1000,17.3,1600.5804397484474
1000,17.4,1601.4329254012125
1000,17.5,1602.2854240177778
1000,17.6,1603.1378619298498
1000,17.7,1603.9901663871963
1000,17.8,1604.8422657715919
1000,17.9,1605.6940897810687
1000,18.0,1606.545569582724
1000,18.1,1607.396637933261
1000,18.2,1608.2472292673594
1000,18.3,1609.09727975447
1000,18.4,1609.9467273251107
1000,18.5,1610.7955116687751
1000,18.6,1611.6435742067695
1000,18.7,1612.4908580438416
1000,18.8,1613.3373079024398
1000,18.9,1614.1828700436376
1000,19.0,1615.0274921793784
1000,19.1,1615.8711233807314
1000,19.2,1616.713713985788
1000,19.3,1617.555215509683
1000,19.4,1618.3955805591336
1000,19.5,1619.2347627545355
1000,19.6,1620.0727166631887
1000,19.7,1620.909397747481
1000,19.8,1621.7447623317912
